Parameter,Value
lab_fe_grid,[1.60943791 2.30258509 2.7080502  2.99573227]
lab_fe_grid_size,4
lab_fe_weights,[0.26579403 0.59005747 0.14116249 0.00298601]
beta,0.9803921568627451
alpha,0.45
sigma_util,0.9999
phi_n,1.125
phi_H,0.1
r,0.02
a_min,-100.0
a_max,100.0
a_grid_growth,0.0
